K,algorithm,mean_regret,std_regret,mean_beta_error,std_beta_error,runtime
2,LinUCB,54.240180598009445,15.121962432469916,0.4893750419893424,0.14994760960663478,7.493644952774048
2,ThompsonSampling,54.31807424538372,16.951008717061498,0.5563939788655821,0.2205772752775991,7.319033861160278
2,EpsilonGreedy,48.510205354881904,15.872231387442259,0.4921172312631746,0.1862228527542042,7.285847187042236
2,ForcedSampling,139.03903024982782,41.97098873833486,0.5407658155827393,0.19172556087071252,8.958531856536865
3,LinUCB,102.8995493310925,30.180635533987072,0.7603017486236668,0.4405821527102647,9.483217239379883
3,ThompsonSampling,121.39850970590226,20.608179586545194,0.7271584045994014,0.3949738638905478,9.847278833389282
3,EpsilonGreedy,92.97757532596844,19.577924231681227,0.7654611868847941,0.4819178695539356,10.306950330734253
3,ForcedSampling,231.51624889188443,47.4912945936379,0.7573532136656542,0.3852676277547188,9.319905996322632
5,LinUCB,207.9223027227231,30.363368886399694,1.6969339002528587,1.841951538607326,10.536265850067139
5,ThompsonSampling,212.0245572843532,35.41783968827222,1.7463848981503258,1.4112343731621826,10.254587888717651
5,EpsilonGreedy,221.13271079681704,42.46246832595594,2.068704237395215,3.02476385131592,10.005490779876709
5,ForcedSampling,314.0580708987192,63.33037234243336,2.2271628062781272,3.0050482899906075,11.788094997406006
8,LinUCB,369.81496660492496,63.01272345790341,3.1243267278509026,3.2473857114279108,9.116103887557983
8,ThompsonSampling,330.6559897394921,45.443111434070055,2.61525575740053,1.8282235908578477,9.072442054748535
8,EpsilonGreedy,350.94516079591085,57.99656275055607,2.7542395438029272,2.2332658012133666,8.655122995376587
8,ForcedSampling,427.0449318666585,46.146465644488366,3.5016672136110985,3.9513791952527795,9.233828783035278
