df,algorithm,mean_regret,std_regret,mean_beta_error,std_beta_error,runtime
1.5,LinUCB,65.32546678888848,23.70616393975857,0.35396462943663215,0.14812052981910537,32.78770732879639
1.5,ThompsonSampling,159.8729003495241,57.54838539922027,0.3084504260972813,0.11214059936049108,32.744369983673096
1.5,EpsilonGreedy,68.15630829785499,21.179760445733383,0.3246609075518629,0.10681697270217996,32.363499879837036
1.5,ForcedSampling,314.08786733042285,84.56553769176668,0.3176347827569174,0.11190644268505219,37.14181089401245
2.25,LinUCB,52.52750856612533,22.84622518214915,0.3086813758750231,0.10705583436881023,28.99568796157837
2.25,ThompsonSampling,97.83194119305601,54.711366501093565,0.28072515266513437,0.07399065779934096,29.53861689567566
2.25,EpsilonGreedy,59.11675161699177,22.585590605348717,0.3031880607379436,0.098964657778523,28.89621090888977
2.25,ForcedSampling,247.18075000083908,69.00712296260981,0.3002802652225589,0.10686952192062117,34.276835918426514
3.0,LinUCB,50.217210324704666,18.894262505440444,0.26858687375395557,0.07573560395679203,28.79636287689209
3.0,ThompsonSampling,77.50985856308448,24.71696267210366,0.2824062531593088,0.0871902830048757,29.447114944458008
3.0,EpsilonGreedy,59.038710900633944,16.82524706574433,0.2880395962124908,0.06880539887156695,30.77934503555298
3.0,ForcedSampling,271.13016967971964,94.09249758065,0.2750434722418525,0.0884612447376308,33.85607099533081
5.0,LinUCB,56.6691904928423,18.784736722333832,0.2714305310291332,0.09344441235642557,27.364507913589478
5.0,ThompsonSampling,72.0401058163037,21.441229107880666,0.26411897634381903,0.09026820748761374,29.735899925231934
5.0,EpsilonGreedy,60.46633170285024,20.886133023433537,0.27086637918236167,0.08711558470873842,27.364647150039673
5.0,ForcedSampling,300.557428087049,81.17699237420463,0.2731965909573797,0.0904325016801719,31.4656720161438
10.0,LinUCB,47.13722909890993,18.527064255234748,0.25216943077906934,0.07871928459407579,26.041993856430054
10.0,ThompsonSampling,59.52215966365527,15.279710538867345,0.2470390663407244,0.06893428890737413,25.79179811477661
10.0,EpsilonGreedy,49.534977057563935,16.344634799508192,0.260135188125426,0.07712695345197447,26.60595464706421
10.0,ForcedSampling,248.78839121903388,65.01173704056407,0.2551166486788068,0.07697285816274345,30.812817096710205
