Algorithm,Mean_Regret,Std_Regret,Mean_Beta_Error,Std_Beta_Error,Min_Regret,Max_Regret
EpsilonGreedy,41.11069470527834,15.41729052779813,0.17450789884900458,0.0318300960159291,19.591976936938188,114.4961413669956
ForcedSampling,46.40711018609408,10.217516402311249,0.17226407104320593,0.035618275712047925,26.70826324470797,71.02632629313278
LinUCB,49.73481811311805,37.95413913962781,0.17034851740212228,0.036017063009421674,19.87387049409407,232.8579190588638
ThompsonSampling,62.9113238155433,43.49655767771608,2.1665596514466277,13.971447513195335,27.272107963270052,349.644962565321
