scenario,algorithm,mean_regret,std_regret,median_regret,mean_beta_error,std_beta_error,median_beta_error,runtime_sec
default,LinUCB,35.20756064073737,10.018617767424935,34.204740602381534,0.3013975369246746,0.11718021361599075,0.2788330253056972,28.436174869537354
default,ThompsonSampling,70.68375646003041,19.914878737043086,65.83953941756852,0.30178721250616786,0.08433730058184688,0.29530626476924104,30.202351808547974
default,EpsilonGreedy,35.65849858171822,11.884519891709772,36.34406077949774,0.3297716923903769,0.16727074161517835,0.28798369837466864,29.815081119537354
default,ForcedSampling,111.39970826127481,27.603848788004697,114.82780901459235,0.28851242772834185,0.1002678630320144,0.263957635772599,34.10188698768616
gaussian,LinUCB,52.28174209395485,21.762151108576514,50.151875677639026,0.3067195834130338,0.10406802052669466,0.290879950938845,28.86522388458252
gaussian,ThompsonSampling,95.30119958569595,47.254798155132306,80.4274051924288,0.27077269014023797,0.08085485223023837,0.2631088645404145,29.267091035842896
gaussian,EpsilonGreedy,57.80173828272772,20.792609665563596,54.71284136842573,0.31264671793069093,0.10670299226043162,0.29134643291816276,29.059038877487183
gaussian,ForcedSampling,255.4891043128515,67.72644802938571,254.95063757630913,0.2943660491596336,0.10071612146035369,0.28206731431315596,33.571046113967896
heavy_tailed,LinUCB,67.67023835165446,24.86586272168289,64.13105932475798,0.36133752127374713,0.18275718558001317,0.31856539097488623,29.51911687850952
heavy_tailed,ThompsonSampling,113.08940980446825,69.49626595320983,95.0554074454206,0.3355156633811675,0.15575028222506504,0.29619960784554855,29.937450885772705
heavy_tailed,EpsilonGreedy,76.12993258717164,25.049833718735247,78.21336018218852,0.37627402926853315,0.19895406840325802,0.33178894744145776,28.74749183654785
heavy_tailed,ForcedSampling,402.8561334371718,113.70694858240091,375.6456370101025,0.29370391604470775,0.09488335285219998,0.29450327659161524,34.35748505592346
heterogeneous,LinUCB,49.738671837154506,15.292149124177401,47.25901701517691,0.3011187370793668,0.08830863814668534,0.29079594186156943,28.574385166168213
heterogeneous,ThompsonSampling,91.7252265948429,45.54623195295893,79.14380838348751,0.291855317240938,0.10131755344418422,0.28013826912672357,29.706856966018677
heterogeneous,EpsilonGreedy,50.49060745162282,21.827991130086907,44.873496604113214,0.3048646856254904,0.11056583163330579,0.290168253494856,29.627735137939453
heterogeneous,ForcedSampling,208.0601510957645,61.8855164639778,205.97237155937285,0.2865219511067669,0.09217152185337917,0.2796179654230122,31.975780963897705
multi_arm,LinUCB,234.2086319947068,52.32148862068157,241.4210758274939,1.0438149381861201,0.7529131537038459,0.8267167859064939,21.929258823394775
multi_arm,ThompsonSampling,276.35501636830384,59.770838183695055,272.5338332115506,1.0134937300265927,0.9331577415793691,0.7476971841531121,22.67069101333618
multi_arm,EpsilonGreedy,250.14465576136277,56.82684040578387,248.1795929686888,1.0399789845954726,1.1080387245929546,0.7457005680573127,20.991339206695557
multi_arm,ForcedSampling,488.93431833774923,59.9668482026645,504.61187290980916,1.3238964906453128,3.5733602988740065,0.7485057341672546,21.54938817024231
sparse,LinUCB,28.431326491467413,9.806888318748529,26.84741671395041,0.3337210157521852,0.14859256305696944,0.30035437325018416,26.889281034469604
sparse,ThompsonSampling,52.11198330833236,12.157821034980957,51.22120436056727,0.2807177348931903,0.10909276158275945,0.2655251319787276,26.866831064224243
sparse,EpsilonGreedy,30.47420792724527,13.525941024960042,27.39865250426419,0.3510512950092157,0.19110351212153978,0.30575777498144896,29.25464677810669
sparse,ForcedSampling,62.99449426667915,16.895120255171687,64.66383678106726,0.2977695283309522,0.09760097832395896,0.2786940317823916,35.829750061035156
