Algorithm,Mean_Regret,Std_Regret,Mean_Beta_Error,Std_Beta_Error,Min_Regret,Max_Regret
EpsilonGreedy,49.880140775382664,18.18038557954455,0.1882557038736745,0.029819135519183592,19.98049570706798,111.32761403204371
ForcedSampling,52.58855902813996,14.419656585478437,0.18044858400199892,0.03665354368549683,28.395482919808295,95.40206887513824
LinUCB,79.13428598347485,48.49320403497241,0.19434578912438005,0.048462891545035816,27.190137344539135,246.55753403504883
ThompsonSampling,90.54885773174448,42.14055295023734,1.717555043717552,10.7914736532509,52.972289544001804,351.63583812216393
